Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-12-14,0.010129,472
2024-07-11_14-19-12,0.010119,351
2024-07-10_15-44-58,0.010125,370
2024-07-11_14-02-35,0.010138,579
2024-07-11_14-10-53,0.010137,555
2024-07-10_15-40-53,0.010142,398
2024-07-10_15-54-07,0.010148,292
2024-07-11_14-13-12,0.01027,489
2024-07-11_14-05-35,0.010151,431
2024-07-11_14-17-18,0.010161,403
2024-07-10_15-53-12,0.010159,296
2024-07-11_14-06-07,0.010146,436
2024-07-10_15-51-45,0.010145,283
2024-07-10_15-38-54,0.010138,450
2024-07-10_15-51-21,0.01017,328
2024-07-11_14-04-22,0.010135,541
2024-07-11_14-17-59,0.010149,339
2024-07-10_15-52-37,0.010178,289
2024-07-10_15-50-55,0.010167,320
2024-07-10_15-48-15,0.010176,323
2024-07-10_15-43-03,0.010194,317
2024-07-11_14-15-08,0.010246,400
2024-07-11_14-13-51,0.010192,441
2024-07-11_14-18-28,0.010155,379
2024-07-10_15-41-46,0.010204,404
2024-07-11_14-03-31,0.010292,491
2024-07-11_14-16-32,0.014958,427
2024-07-11_14-14-24,0.010255,408
2024-07-10_15-40-03,0.010158,507
2024-07-10_15-51-48,0.01014,316
2024-07-10_15-52-36,0.010201,283
2024-07-10_15-43-56,0.010155,356
2024-07-11_14-12-14,0.010129,472
2024-07-11_14-19-12,0.010103,349
2024-07-10_15-44-58,0.010179,372
2024-07-11_14-02-35,0.010186,580
2024-07-11_14-10-53,0.010179,555
2024-07-10_15-40-53,0.01016,398
2024-07-10_15-54-07,0.010313,292
2024-07-11_14-13-12,0.010143,488
2024-07-11_14-05-35,0.010157,430
2024-07-11_14-17-18,0.01017,403
2024-07-10_15-53-12,0.01013,298
2024-07-11_14-06-07,0.010129,437
2024-07-10_15-51-45,0.010146,282
2024-07-10_15-38-54,0.010136,451
2024-07-10_15-51-21,0.010119,329
2024-07-11_14-04-22,0.010133,541
2024-07-11_14-17-59,0.010186,339
2024-07-10_15-52-37,0.010144,289
2024-07-10_15-50-55,0.010143,319
2024-07-10_15-48-15,0.010107,322
2024-07-10_15-43-03,0.01013,319
2024-07-11_14-15-08,0.01012,401
2024-07-11_14-13-51,0.01014,443
2024-07-11_14-18-28,0.010125,379
2024-07-10_15-41-46,0.010138,404
